Date,EA_simple.return,F_simple.return,FLG_simple.return,GE_simple.return,GOOGL_simple.return,GS_simple.return,HD_simple.return,HLT_simple.return,HON_simple.return,HWKN_simple.return,cpi,inflation_rate,EA_real.return,F_real.return,FLG_real.return,GE_real.return,GOOGL_real.return,GS_real.return,HD_real.return,HLT_real.return,HON_real.return,HWKN_real.return
2014-01-31,0.014214366279201363,-0.01901619796527554,-0.009786004043784269,-0.01450971501630638,0.04014492342553888,-0.010371341900609732,-0.0010399210954910032,-0.0004619926807392094,-0.005125730800839112,-0.008727375398287496,235.288,,,,,,,,,,,
2014-02-28,0.001751986059633559,0.0,0.0012530223979843047,-0.0011766095920758834,-0.002919883977604898,0.006470062693807677,0.0007312944235542407,-0.005780333714177299,0.0007418059184638448,0.0042275699993690186,235.547,0.0011007786202441583,0.0006504913923719435,-0.0010995682390351202,0.0001520763753175558,-0.0022748840685737903,-0.004016241604956616,0.005363380179329802,-0.0003690779236024122,-0.006873546081849313,-0.0003585779867987249,0.0031233532586343316
2014-03-31,0.016824303267756413,0.009708889139509846,0.010691353688759841,0.00038592989702124214,-0.0050350179279171625,0.009550204675332408,0.005208912263687582,-0.0004495658516125989,0.020573833650644913,0.016039890430407544,236.028,0.00204205530106516,0.014752123315073806,0.007651209645229029,0.008631672036056415,-0.0016527503963357226,-0.007062650905261703,0.007492848563138921,0.003160403244423682,-0.002486543493355864,0.018494012553207595,0.013969309027789922
2014-04-30,0.008553263409077694,0.009690379636295043,-0.015335521726551171,0.004857931190171527,-0.0027035890190627576,0.009984688491408988,-0.0001255448276269444,0.03508745824942139,0.004649990077788546,0.0036041699889417522,236.468,0.0018641856050976013,0.006676631323975446,0.007811631699830235,-0.017167703545826085,0.002988175072119015,-0.004559275288797293,0.00810539292948853,-0.0019860281077148656,0.03316145353999045,0.0027806208792746645,0.0017367467655242663
2014-05-31,0.01064447381085154,-0.006045955985291118,-0.001959281016355674,0.0018697232866442537,0.0019104381547063731,-0.0057861991555862025,0.004130317757316204,0.019837583570358364,0.003446915941830886,0.048186260341304576,236.918,0.0019030059035471947,0.00872486443876963,-0.007933863699380428,-0.0038549509255336734,-3.321940018830016e-05,7.418134405634547e-06,-0.007674600249551133,0.002223081316898856,0.017900512885114184,0.0015409775489108046,0.04619534442460105
2014-06-30,-0.0005570377255975645,-0.002315061222785686,0.0012530858149384372,-0.0056754257747071435,-0.0017415285799403657,0.003957442240468678,-0.0020955170280323454,0.021481454666585353,-0.0033239043239960964,0.007596626216728186,237.231,0.001321132206079767,-0.0018756918947065992,-0.0036313958748221964,-6.795661147329657e-05,-0.00698732679831926,-0.003058619944705021,0.002632831715616124,-0.0034121413442904647,0.020133723150423277,-0.0046389079194224525,0.006267214192136716
2014-07-31,-0.026087044113081603,-0.02520015409298637,-0.011207906520359523,-0.019110795480046794,-0.026686068200794666,-0.016442724921536866,-0.011130813374328419,-0.01904337378773102,-0.023812157982959214,-0.005805602514665331,237.498,0.001125485286492811,-0.0271819365299516,-0.026296043569348893,-0.012319526361196265,-0.02021353073510912,-0.02778028718280867,-0.017548459674864958,-0.012242519884821279,-0.02014618483960784,-0.024909607872299455,-0.006923295733675894
2014-08-31,0.01994619507668438,-0.0005742204471195222,0.0037758716510234436,-0.001153602896591388,0.003515221510149935,0.008218614624084353,0.010700993714040541,-0.013249909308973407,-0.0007342643150137773,0.01573317214991432,237.46,-0.00016000134737970129,0.020109413957392297,-0.0004142853859597784,0.0039365028441622485,-0.000993760552238987,0.003675810992241013,0.008379956775839137,0.010862733113354617,-0.013092002699665595,-0.0005743548651864216,0.01589571683340485
2014-09-30,-0.004750796273746638,-0.02117791268239222,-0.002513825369252709,0.007867876836020082,0.0010207491759657294,-0.0014143686093563979,-0.01227407688776383,0.003258623131862093,-0.0043840284531337925,-0.010728499263344626,237.477,7.159100480080838e-05,-0.004822042063710952,-0.021247982522774267,-0.0025852312947475253,0.007795727727238022,0.0009490902248421307,-0.0014858532404307123,-0.012344784117065633,0.0031868039805622583,-0.004455300498495185,-0.010799317134180586
2014-10-31,0.02810533899830503,0.010036016585580843,0.012055686205852512,0.0054537505758116556,0.01356490037099678,0.016152428475212588,0.0,0.00919642701698642,0.005544560111934382,0.0272070604060608,237.43,-0.00019791390324119806,0.028308855617657835,0.010235956326892115,0.012256025746987476,0.005652783243448756,0.013765538665725607,0.016353578979101613,0.00019795308090819752,0.009396200558955847,0.005743610755598816,0.027410399208398717
2014-11-30,0.005723590800311262,0.007687512581256328,-0.009968954709894118,-0.014142132015743103,0.0024646750988410737,0.00260729815945826,0.017400103278646162,0.0076864699374994405,-0.00010130224029902823,-0.003033528417435094,236.983,-0.0018826601524659647,0.0076205979488734865,0.00958822410117044,-0.008101547017170696,-0.012282595816990649,0.00435553524395349,0.00449842732179162,0.019319134796373483,0.00958717949076715,0.0017847179294960824,-0.001153039045634574
2014-12-31,-0.007597937775597696,0.0,-0.011124942475855604,-0.011732773488812631,-0.008630920024947475,-0.00960607904029076,0.006713408334396043,0.0,-0.007942717238172081,-0.013433221764951653,236.252,-0.0030846094445592387,-0.0045272932625946005,0.0030941537002859842,-0.00806521105749669,-0.008674922793031614,-0.005563471717793478,-0.006541648025012448,0.00982833435192143,0.0030941537002859842,-0.004873139525818804,-0.010380632517496435
