price,volume,time,buy/sell,market/limit,misc
0.31020000,108.00000000,2025-02-09 01:25:21.921680212,b,l,
0.30990000,32.47323000,2025-02-09 01:27:32.992966175,s,l,
0.30790000,78.62422844,2025-02-09 03:00:11.997252464,s,m,
0.31080000,85.98580429,2025-02-09 03:03:43.254824162,b,l,
0.31060000,97.43423188,2025-02-09 03:03:55.423629522,s,m,
0.31160000,264.81703485,2025-02-09 03:09:55.563301325,b,l,
0.31190000,44.75710800,2025-02-09 03:22:44.046593904,b,m,
0.31200000,210.80238184,2025-02-09 03:35:38.792031765,b,l,
0.31250000,30.02083788,2025-02-09 03:37:06.764210701,b,l,
0.31300000,58.23369863,2025-02-09 03:40:37.522641182,s,m,
0.31400000,796.17834394,2025-02-09 03:44:31.466345310,b,l,
0.31470000,51.94928446,2025-02-09 03:44:41.883559942,b,l,
0.31400000,174.00000000,2025-02-09 03:45:21.028635979,s,l,
0.31600000,210.80238184,2025-02-09 03:49:26.103317261,b,l,
0.31540000,317.05770450,2025-02-09 04:08:28.635757208,s,l,
0.31490000,108.00000000,2025-02-09 04:15:30.018762827,s,l,
0.31490000,1667.16112473,2025-02-09 04:15:30.018762827,s,l,
0.31410000,149.91777821,2025-02-09 04:46:14.992956877,b,m,
0.31350000,50.03488800,2025-02-09 04:46:20.529001236,s,m,
0.31320000,45.60498500,2025-02-09 04:47:42.535062790,s,m,
0.31360000,149.91777821,2025-02-09 04:58:33.459151983,s,m,
0.31310000,81.10887731,2025-02-09 05:12:08.442613840,s,l,
0.31330000,7.14746249,2025-02-09 05:12:43.197082996,b,m,
0.31290000,34.10966270,2025-02-09 05:12:56.731399059,s,l,
0.31340000,108.00000000,2025-02-09 05:13:39.208184481,b,l,
0.31340000,108.00000000,2025-02-09 05:13:39.225157261,b,l,
0.31430000,21.97189309,2025-02-09 05:25:28.726626158,b,m,
0.31200000,210.80238184,2025-02-09 06:01:37.641731739,s,l,
0.31080000,16.08751609,2025-02-09 06:36:27.431674719,b,m,
0.31210000,127.45649651,2025-02-09 06:46:27.561062336,b,l,
0.31380000,6.00000000,2025-02-09 09:05:51.355601072,b,m,
0.31470000,38.96103896,2025-02-09 10:35:12.476507187,b,l,
0.31480000,108.00000000,2025-02-09 11:04:24.403601170,b,l,
0.31500000,197.93922831,2025-02-09 11:04:24.403601170,b,l,
0.31160000,9.42568418,2025-02-09 11:05:06.813902617,s,m,
0.31410000,48.55940434,2025-02-09 11:08:32.022233009,b,l,
0.31420000,198.44321107,2025-02-09 11:11:40.988407373,s,l,
0.31000000,1305.52240823,2025-02-09 11:11:51.057227612,s,l,
0.31130000,67.50030000,2025-02-09 11:12:28.991041660,s,l,
0.31510000,48.55940434,2025-02-09 11:21:01.039588690,b,l,
0.31520000,1024.29062011,2025-02-09 11:21:01.039588690,b,l,
0.31520000,317.45577077,2025-02-09 11:22:49.299694061,b,m,
